antecedente,consecuente,n_vars,soporte,confianza,lift
t_H07 AND t_Laborable,v_OutlierAlto,2,0.0445,0.5258,11.8688
t_H03,v_MuyBaja,1,0.0626,0.8337,5.2932
t_H04,v_MuyBaja,1,0.0627,0.7962,5.0551
t_H02,v_MuyBaja,1,0.0625,0.7545,4.7906
t_Dom AND t_H11,v_Media,2,0.0089,0.7324,4.1559
t_H08 AND t_Laborable,v_MuyAlta,2,0.0448,0.5704,3.9386
t_H07,v_MuyAlta,1,0.0623,0.5689,3.9281
t_H09 AND t_Laborable,v_MuyAlta,2,0.0447,0.5534,3.8213
t_H01,v_MuyBaja,1,0.0625,0.5793,3.6781
t_H11 AND t_Sab,v_Media,2,0.0089,0.6314,3.5829
t_2024 AND t_Madrugada,v_MuyBaja,2,0.1724,0.5308,3.37
t_FinSemana AND t_H17,v_Media,2,0.0179,0.5889,3.342
t_H21,v_Media,1,0.0626,0.5848,3.3185
t_Ago AND t_Tarde,v_Media,2,0.032,0.5808,3.2957
t_H16 AND t_Sab,v_Media,2,0.0089,0.5801,3.2919
t_Dom AND t_H16,v_Media,2,0.0089,0.5785,3.2829
t_H09 AND t_Sab,v_Media,2,0.0089,0.5777,3.2783
t_H20,v_Media,1,0.0625,0.5263,2.9865
t_FinSemana AND t_H12,v_Media,2,0.0179,0.5064,2.8736
t_H08 AND t_Sab,v_Baja,2,0.0089,0.7316,2.812
t_H00,v_Baja,1,0.0625,0.7196,2.7661
t_Madrugada AND t_Sab,v_Baja,2,0.0604,0.7171,2.7566
t_Noche,v_Baja,1,0.1458,0.641,2.4639
t_H19,v_Alta,1,0.0624,0.6264,2.3975
t_H18,v_Alta,1,0.0624,0.6214,2.3782
t_Ago AND t_Sab,v_Baja,2,0.0174,0.612,2.3523
t_H13,v_Alta,1,0.0625,0.591,2.2617
t_H12,v_Alta,1,0.0625,0.5899,2.2575
t_Oct AND t_Tarde,v_Alta,2,0.032,0.5855,2.2407
t_H05,v_Baja,1,0.0627,0.5477,2.1053
t_Dom AND t_Verano,v_Baja,2,0.0531,0.5431,2.0877
t_Lun AND t_Tarde,v_Alta,2,0.0474,0.5451,2.0862
t_2024 AND t_H14,v_Alta,2,0.0348,0.5442,2.0828
t_Tarde AND t_Vie,v_Alta,2,0.0476,0.5419,2.0739
t_Dom AND t_Mañana,v_Baja,2,0.0447,0.5311,2.0414
t_Mar AND t_Tarde,v_Alta,2,0.0475,0.5269,2.0165
t_H14 AND t_Laborable,v_Alta,2,0.0447,0.5264,2.0148
t_2025 AND t_H01,v_Baja,2,0.0344,0.515,1.9794
t_2024 AND t_Dom,v_Baja,2,0.0946,0.5048,1.9404
